CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/fsck.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/log.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/log.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/preflight_commands.json | tracked=0 | total_lines=95 | added=95 | removed=0 | net=95
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/preflight_eval.md | tracked=0 | total_lines=5 | added=5 | removed=0 | net=5
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/preflight_outputs.ndjson | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/prune_dry_run.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/prune_dry_run.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/pwd.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/pwd.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/run_context.json | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/show_toplevel.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/show_toplevel.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/status.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/status.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/worktree_list.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/preflight/S10-EVID-PREFLIGHT/S10-gui-operator-tools-v1_preflight_S10-EVID-PREFLIGHT_20260304T193000Z/worktree_list.stdout.txt | tracked=0 | total_lines=2 | added=2 | removed=0 | net=2
src/s10/operator_exec.ts | tracked=0 | total_lines=147 | added=147 | removed=0 | net=147
src/s10/operator_tools.ts | tracked=0 | total_lines=782 | added=782 | removed=0 | net=782
src/s10/operator_types.ts | tracked=0 | total_lines=70 | added=70 | removed=0 | net=70
src/s10/s10.test.ts | tracked=0 | total_lines=271 | added=271 | removed=0 | net=271
EXIT_CODE: 0
